live_id,live_name,cover_path,artist,level,author
2o8bOtehEbonP11b,Stand Up!!!!,VbZep1v43QNN.jpg,西明日香，明坂聡美，荻野可鈴，大橋彩香,12,かふうちの
OLUWKRQLHQWFYAKS,Grieg's Piano Concerto in A Minor,c6f998941f5ba9ba2fd3fff0f8d88f9e.jpg,Maksim Mrvica,11,天坑君
ndeZIIqJkbghX7ES,Cerebrite,CvMRplPhqTnX.jpg,Mili,12,MAMUS
uJLOgZsUCyv430yp,トンデモワンダーズ,wixYt4RIgeDw.png,sasakure.UK / ワンダーランズ×ショウタイム × KAITO,13,施斯・彩璧
DJNUswDHZ7ZyS5Kg,僕の言葉ではない これは僕達の言葉,AsXLsl6y7wmy.jpg,UVERworld,11,MAMUS
wzEnaf8wC5QkRc5s,YAMINABE☆PANIC ～ご馳走詰め込みフルコース～,3MvQfoPKUa22.jpg,三角葵 (春野杏)、桜井春菜 (近藤玲奈)、珠洲島有栖 (長縄まりあ),12,施斯・彩璧
dNEXXDAbjvl5A9va,花燈の恋文,sZrJYLJAN6qh.png,紅月【蓮巳敬人(CV:梅原裕一郎); 鬼龍紅郎(CV:神尾晋一郎); 神崎颯馬(CV:神永圭佑)】,10,MAMUS
BSsD4zaXMEPyp5uk,冬に桜が咲くようなキセキ。,nbhiei2nYlfg.jpg,"Music by nmk/佐原誠&kei_iwata, Vocal by SOPHY",12,歲歲平安
2TAXYbAAiE1kPrdT,Imprinting[EX],RtoL19yaifmM.png,fairythm,12,qimoxiaoguo
znreHBdQUy9WiKxT,唇＊シンメトリー,JGAD41HoGXvZ.jpg,佐々木未来,10,摇曳的窗帘
QUEssu92THjqnEWd,TESTAMENT,aBIA9X0FoftF.jpg,水樹奈々,12,かふうちの
hUx8HwoRFHr5CLPj,天空カフェテリア,GYnhq9hD7RHF.jpg,Petit Rabbit's,11,摇曳的窗帘
XfXeEB9CAV8IZVpW,四月の雨,oOKkXRG2nkyW.jpg,cubesato,12,施斯・彩璧
L0yNP0XMzQvHZ1WG,星見る頃を過ぎても,Z6D5jVYrCWKQ.jpg,Mili,11,MAMUS
IgaxT36w9AmMzwuA,Higurashi,B5bq8QfgK2tt.jpg,Ryo Arue,11,Dororo
GupNtTMwOphVlFoc,No Buts!,LqDczkxd9dSt.jpg,川田麻美,11,佐天泪子
09zw3NFmsKqdcio0,after school NAVIGATORS (master)[搬运],gWGNaZfXJdUM.jpg,μ's,12,oscar865
o0DEwoK5L5OjHd41,Lightning the lives 【Ver.A】,yGR2K743Eag8.jpg,アスナ (戸松遥)、リーファ (竹達彩奈)、シノン (沢城みゆき),11,施斯・彩璧
A5p5tCNOw03T2MCk,宇宙を飛ぶ不思議な巫女,U6Ffzxesnrnc.png,ZUN,12,MAMUS
Q1cwGzF9q4DJRWC2,魔法少女達の百年祭 (masty core remix),zMpdYFDXLQWM.jpg,ZUN,12,niconiconi
LEKBTffge5jc3ePb,華蕾夢ミル狂詩曲～魂ノ導～,NDRX4XjCRtK4.jpg,神崎蘭子,11,niconiconi
8VvYISp8eqZQQ4Sx,Change Our MIRAI! 【MASTER】,lboxFUqPPbgy.jpg,イロドリミドリ,12,施斯・彩璧
kpdLdVikjRWFtiLQ,First Choice,PI9DnKWlhE4Y.jpeg,M2U,11,天坑君
xrCK02SnWY5tcxOK,【創作譜面】夏の終わりの雨音が,i33fPFSROftf.jpg,伊波杏樹(高海千歌 役)/諏訪ななか(松浦果南 役),12,littlefrog
ZIAHWSLBDYWVRSII,True Blue,927587347b54bb011c66f3e6469de46a.jpg,"dj TAKA ,AIMEE",11,小泉花陽
N8aex4OFJWZibGFb,Airwave,3ymLRJWaMiUj.jpg,M2U,12,天坑君
EDLWQQMCQGLOWRFD,End Of Fight（和平）,07006c197b5e7c759206a520647bb933.jpg,ALL.O2SE,11,天坑君
IQ0zWXYqRNmObGN7,パラダイス☆しんどろ～むっ！,0BkSVSKQX7Yu.jpg,田中あいみ/影山灯/白石晴香/古川由利奈,12,91999198
ZawGoiIg5vL9TkOT,はなまるぴっぴはよいこだけ 【7 Key】,WVFcOtqq8Z1v.jpg,Pastel*Palettes,12,Future
Acb1KMGHQGDLFYBs,裏表ラバーズ×ロストワンの号哭,KSRxs0U0bn2U.jpg,wowaka×Neru,12,小泉花陽
wUIbfOkJ4xfHFWg7,[創作譜面] MY舞☆TONIGHT Master,wrGxQSaGg0Hv.jpg,Aqours,12,gytjhkj
wHar1Ky8O8OToZWD,Endless Beats ⇔ Endless Parties,bPxtd553LJpI.png,かめりあ,13,91999198
aYF5rxjCZ0JqtaW9,すーぱー☆あふぇくしょん,sLNdE6YXgOs8.jpg,畑亚贵,11,汐喵の秋刀鱼
CIAb4Bq7NJmKxsbm,REWARD OF BELIEF,tXPi1fnTwDx8.jpg,傭兵アーサー(CV.阿部敦),11,MAMUS
5PIxvtRuRVZHmhxe,Misty Farewell ≮ULTRA≯,OTbTyGPbDwLM.jpg,t+pazolite,12,MAMUS
r5GpHHSckaBhE3Rv,Pastel Subliminal,4OU64DYMkkFL.png,a_hisa,12,小泉花陽
rWitirmFRe3k7Imm,ポンコツ！異世界シアター,Xvh4CUFz9CwA.jpg,シャルティア (上坂すみれ)、めぐみん (高橋李依)、レム (水瀬いのり)、ヴィーシャ (早見沙織),12,施斯・彩璧
0UlCLRA83O6uoYLW,IGNITE 【EXTRA】,lCy4oOUVuf5a.jpg,藍井エイル,11,施斯・彩璧
4RKj0EZ3pltTvWjI,CANDY COLOR DAYS【Another】,MNOuxRTV5db4.jpg,チマメ隊,12,小泉花陽
kCMFr5hIr7fEW2ab,彼方のリフレシア,FZCncsEmrjYH.png,Annabel/日山尚/DJ TOTTO,11,91999198
MMPzklQC3l4xAuSj,アッパーチューン,9UwWaWB1xh0x.jpg,ラペッジオート,12,MAMUS
Dd7Gmsyc3vSPa32I,トクベツなひと ～Lesson Five～,8h6OA49aiIRl.jpg,中野五月 (CV: 水瀬いのり),11,施斯・彩璧
MaDPuLuXVCEYdHfG,時計仕掛けのメリーゴーランド,UKVpNxF8Vkkl.png,餡若feat.みゅい,12,野生maki
CNHlzv06wM9JIYtr,VR in the Virtual World,tS8XcNJC3dI3.jpg,ARForest,12,Oracle
6c4ndE9ItpVNGpfT,V【HYPER】,pdnu5LXdwr8Y.png,TAKA,12,小泉花陽
wySKvKEDCDtpLS1j,あんずのうた,7ufzbC6D7wsV.jpg,五十嵐裕美,11,oscgss865
h1YJlCpt03yIyF7q,It’s OK!!,P5LIiXxUBOZ4.png,戸田 めぐみ,11,かふうちの
TKvqVnTLH6gNuxBA,METATRON,kyrh2gtLIpRS.jpg,SHIKI,13,kyoro
8TOWe9YnebDHu5sw,[創作譜面]Shangri-La Shower,eVO3kzVxvpu7.jpg,μ's,11,gytjhkj
jX38B98dKrprRvhI,Light for Knight-Long Ver.,sCCUktYuPqLP.jpg,三森すずこ,12,天坑君
8cNsYnHHWAEfbsvd,Lune,X4VaRyKRZdcc.jpg,M2U&NICODE,11,MAMUS
8kMFXnPh2pxPPCRG,MariannE,JtMQIfg6zg8W.jpg,Yoohsic Roomz,12,空瞳画家
inSEIVOrUgxm1em5,VIVA HAPPY,3QfnE9dLsy8Q.png,Mitchie M/初音ミク,11,littlefrog
7QjSI5x8w84gd4Rh,【Master】Snow Halation,bejhNpO5byjm.png,µ‘s,11,Hakanai Yume
KwBuCA8K5e31xPSt,てさぐり部部歌（ＴＶサイズ）,OUhYYko7fj5o.jpg,西明日香，明坂聡美，荻野可鈴，大橋彩香,11,かふうちの
15MWkAx7rSy66OYd,Stand up! Ready!!,u7o7Pqol1Xso.jpg,日笠阳子,11,かふうちの
z4rXX1EdviWA4g5O,I will...,khwb37gouSMN.jpg,藍井エイル,11,施斯・彩璧
5w6cI2ZnGMLwlKyD,FAITH,1hd9AOACDP0v.jpg,MADKID,12,施斯・彩璧
RKD5o4wP1plCdK2H,月光乱舞,NAAAWeXktAAv.jpg,P*Light,12,niconiconi
TPVcupjV178YqJ6i,KABANERI OF THE IRON FORTRESS,NPfJIwKLOY7q.jpg,EGOIST,11,小泉花陽
WPPkzg8vvOmyD3K9,FANCY SWEET TIME,mjDrkNstHHUR.jpg,"佐藤聡美,徳井青空,村川梨衣",10,摇曳的窗帘
v9QPjfRcTYL9WyVx,Unite As One,12oL1KMbbG77.jpg,八王子P feat.初音ミク,11,MAMUS
v4aQbykMjp3kFv8Q,お手伝いのラララン添えはいかがですか?,aA9BBJlkMAx2.jpg,"水瀬いのり,徳井青空,村川梨衣",11,かふうちの
3gXN6fSFxCgKyme8,SPICY SWINGY STYLE,zRE8q7hXp9cM.jpg,明坂芹菜 (CV: 新田恵海),11,施斯・彩璧
javvOBtYxQZ1SEM4,Change our MIRAI!,48xSA73SrnUZ.jpg,イロドリミドリ,11,tosaka
XEOt9PfosdLqYdaR,狂虐之乐【Hard】,ljlgNCTedo9S.png,埋葬YJ,12,空瞳画家
SPoWvk8FEfvuLmOX,WaH!,0FolsMZykgAv.jpg,ARForest,11,歲歲平安
xN6lCpls0p4btpe2,PSYCHIC FIRE【EX】,oQuUUgHXrK8S.png,BiBi（矢澤にこ、西木野真姫、絢瀬絵里）,12,yuyu0127
3mjO1Qkrv4ta4X0V,【超难关】BIG YAJUE,O7vJrNOpiSga.jpg,COAT,12,野兽先辈
FI30sGGfkZuoLr5M,BLESS YoUr NAME,cfIAImRthWFg.jpg,ちょうちょ,11,niconiconi
ihTtVQiztoj2KMAZ,デッドボヲルdeホームラン,QNJI3XrvyT7h.png,猫叉Masterβ2,13,RUKINOSAKI
8w0GTRT7rBnw6LB5,アヴァロンの丘,F6Qb58z56V80.png,猫叉Master,12,niconiconi
itehPxa5APURTWKy,龍と少女とデコヒーレンス,bq16J7dIO6Mx.png,黒猫ダンジョン,13,RUKINOSAKI
EJMUYLMEYWAZYYTO,Dynasty,19936605116087a48bf9f11a09c8c132.jpg,Yooh,11,咱不触不敢说话
vDAbgLyheDDTxRZt,[創作譜面] GALAXY HidE and SeeK 超難關EX,HoHt3VrsZ6Ig.jpg,AZALEA,11,gytjhkj
tHJe1SElZxKsO8VJ,プリズム 【MASTER】,oVLjlRFNzpCS.jpg,御形アリシアナ (イロドリミドリ),11,施斯・彩璧
lj8MmE4dTvKsn8UQ,Oriens,m7dZemJTxtiW.png,ginkiha,11,かふうちの
hhnFdiBHCrwaChhz,We Are!,FNVwTGv4iGH1.jpeg,北谷洋,11,好男1就
ruDboI8S4RSdhMmA,December Breeze,LmuR04bn0Ssc.png,dj silverberg,11,小泉花陽
Qu8Aw5As4xsVL2UJ,センダンライフ,kmpTNGYDrPs2.jpg,リモ Prototype starring 花守ゆみり,12,MAMUS
uky1eVQ1W3B4oKzs,やらなきゃいけないことばかり,6OlizkXsIIGP.jpg,小仏凪 (CV: 佐倉薫) & 月鈴白奈 (CV: 高野麻里佳),12,施斯・彩璧
3qC9dJGPAkXGsfIY,シュレディンガー・ハート,iQwutVngAC9T.jpg,ニムエ(CV.小倉唯),9,MAMUS
0mJsgfUdI5iegJIO,Altros,g3wpZBCZDs8H.png,ARForest,12,施斯・彩璧
MkHIvmqDLVYPT2WJ,幻想のサテライト,cmaKPHOwiZ4T.jpg,豚乙女,13,好男1就
QKAspxQiPE3CuJzC,二人セゾン,qp71Dd3Zz3fx.jpg,欅坂46,11,MAMUS
zcyMGnGxVDAuIWHC,ミルククラウン・オン・ソーネチカ (セカイver.),nHuwJ1sphgLU.png,ユジー / 花里みのり (CV: 小倉唯)、日野森雫 (CV: 本泉莉奈)、初音ミク,12,望月 穂波
AmBpAEA2zROEs7o5,Storm Buster,pAGIoT8NsSEq.png,P*Light,12,小泉花陽
Jg2PlZc4G1oWlMYq,春風センセーション,rN98LC8FH75I.jpg,新田惠海,11,天坑君
IHIBPEOCDLMDLISI,Hadron Strike,ca271d7a4aaf7fbe193581eba0daede3.jpg,Kinato,12,天坑君
YTWHZHtS8iTKjAyg,乙女のルートはひとつじゃない！,s4RPdTap8UgT.jpg,angela,12,施斯・彩璧
lv5uNzvqww8OmcnI,Oceanus,KnlslYgI1aSH.jpg,cosmo@暴走P,13,MAMUS
kVfAg9uu3jxDOmQ0,Twinkling star,BHvlnQxwsOs8.png,"小倉唯,水瀬いのり,上坂すみれ",11,摇曳的窗帘
MDEQKtkTLj5VHQZK,LOVELESS WORLD【自制MASTER】,1QSvbdXzHMn0.jpg,作詞：畑亜貴 作曲：山田高弘 編曲：河田貴央,12,yuyu0127
NI7y9iZjNj6XPNbA,朱と碧のランページ,WC5WaL3CCsfo.png,NU-KO,11,手PA无敌
aOy23vFYHDfCcjcD,Chronoxia,HAY94uNb3fkE.png,DJ Totoriott,12,小泉花陽
l45VJKoRqBIZ6nbQ,猫祭り 【MASTER】,pJn18t0FkigG.jpg,箱部なる (CV: M・A・O),11,施斯・彩璧
kkxygHk3k5tkawYT,言葉より強く（master）,Gr9uQeVMhSjm.jpg,新田惠海,11,sumon_露菲尔
tcQOXJVVTsvLjIIi,-OutsideR:RequieM- 【MASTER】,zevBNUTRYIMm.jpg,箱部なる (イロドリミドリ),13,施斯・彩璧
VaLaBM7exuwU5FE4,Emblem of the Moon,NuRLXQpCKMnm.png,dj TAKA,12,MAMUS
dMBVBbWqxUdtUM9M,REVERSE LIMITED!(SDVX Edit),2ZzqLvqoDINu.png,MUZIK SERVANT feat.CHERICa,11,野生maki
82112UakZSHnRu0V,【魔卡少女樱】気になるアイツ,nROh7x8fzBh9.jpg,（CV：熊井统子）,11,MAMUS
Pt6PoSjLBu2b8nZd,Firestorm,nf3e6uq9T5UX.jpg,ETIA,13,oscar865
Hm06OyyyolxbUuZn,Drama,t4hZWRyeFAry.jpg,Diana Boncheva,12,天坑君
9B4cWf3BGhunx8P0,歪鏡・シェンショウジン,ZBTkPmnIzN6h.jpg,小日向未来(CV.井口裕香),11,かふうちの
vDy5OlbVszYAJDgQ,ミックスナッツ,NxrHHpY1Kfw6.jpg,Official髭男dism,12,施斯・彩璧
R6nBdcYKI19il3LZ,Over My Head(Better Off Dead),0B8Ys1fmxGVi.jpg,Sum41,12,佐天泪子
finGCNvdieCMBQba,【局部多指】#1f1e33,c3fUQUe3y1Ie.jpg,かめりあ,13,91999198
vxJd6XOLma29mxtf,スカイラブハリケーン -2014 Ver.（结尾多押）,9yYV4OoeNQbM.jpg,すーぱーそに子,12,かふうちの
5h1E1F0SUBSf0Xyr,月下美刃,LflcUWch57EK.jpg,水樹奈々,12,かふうちの
6Rc0zdtnoKJeMlaU,STELLAR WIND【SPECIAL】,pe5iED92nw2T.jpeg,L.E.D.,12,niconiconi
0wuTnbeUMHhQvtQO,咲いてjewel,UZG5AoZxVotc.png,CAERULA,11,MAMUS
MmgBHZ6023jzshsu,Xepher Light and Darkness Dragon Remix,DcuaS8RHoXJ2.jpg,デッドボールP,13,niconiconi
pyj05GM4sDsRkEf3,永遠フレンズ EX,gV0dl3VrLTYe.jpg,Printemps,12,DatMinish
Gme3VZ6E5EemWmco,Air raid from tha underground,b1nclaDL1LDz.png,GUHROOVY,11,手PA无敌
dVo8IIHn9ciOgD2I,幽玄ノ乱,v3Uoqw98oH7n.jpg,世阿彌,12,野生maki
JbAYbiCZfsgembMj,Overdrive,fbMwsxPYAobr.jpg,Falcom Sound Team jdk,12,好男1就
XoJXIjSM0yHawoQ1,Divine Spell,Yk3If5LBz8zB.jpg,TRUE（唐沢美帆）,11,かふうちの
lSX1nKioEMe4aiI8,聖なる日の祈り【創作譜面】,86JYg3rk88kD.png,Aqours,10,Mtn64
Fk1RF8rZcQqvtjNo,女の子になりたい,bVujTNx7Kn8j.jpg,まふまふ,12,施斯・彩璧
UOXHCSnVNySmbTBf,最強 the サマータイム!!!!!,M0Dt2oNHNTCb.jpg,オンゲキシューターズ,12,施斯・彩璧
JgxuvWT4Gxknm1Da,Wicked Fate,9lkRVoQHnqLR.png,M2U,12,niconiconi
Ax2c1e7sN21JTC0A,Ice Chandelier,Rk6PRIrJraco.jpg,pan,12,Oracle
JPMRUJUQSMDJRIRX,Trouble Busters Real-EX,15827e972482a09966fc3e9895756608.jpg,BiBi,11,小泉花陽
jOLJ5iW5hAqcYrOP,Very! Merry!! Session!!! 【MASTER】,WjHbos5OPlXj.jpg,明坂芹菜 (イロドリミドリ),12,施斯・彩璧
PPPGOJXPXRFQYJFW,My dearest,551942b2266615563ab46b1b9f434866.jpg,supercell,12,小泉花陽
A2t0BG14lrU7imD4,Fascinate,ObC8dVVa7SnZ.jpg,歌：黒崎ちとせ（CV.佐倉薫）、白雪千夜（CV.関口理咲）,12,沉默丶Man
6UUBxL70nMtQeY61,Snow Halation【創作MASTER】,a6gO2VBv5d3N.jpg,μ's,12,yuyu0127
adHtVtx7zvZjOZ6g,聖者の息吹,6Yk1FQGfdyPt.jpg,ZUNTATA,13,野生maki
XgWfIf3PIho3fA7m,CANDY COLOR DAYS,JoX5v4XYFPGo.png,"水瀬いのり,徳井青空,村川梨衣",12,かふうちの
SAuqatp7i8ciSLiF,STAGE OF SEKAI,v4vBNg9pqF0T.png,針原翼 / Leo/need × 鏡音レン,11,望月 穂波
GHeBDn0fZsJuK0aZ,RADIANT FORCE (IGNITED arrangement),LSuqtRXXe6ge.jpg,"悠木碧,水樹奈々,高垣彩陽",12,かふうちの
UBKkxUsYgsgviOV3,ミッション！健・康・第・イチ,fvw2H3ktIL4Y.jpg,花澤香菜、前野智昭、小野大輔、井上喜久子,11,InariSonoda
rnTriJljvR5hS36W,Chrono Diver -PENDULUMs-【HARD】,oxjB42h5iV3w.jpg,猫叉L.E.D.Master＋,11,niconiconi
bLG5sk9E89mqLtbZ,トリコロール・ダイアリー,X1tKuDCNNPyu.png,梅干茶漬け,11,野生maki
SVGZMACKGZLEPIHP,SAKURA NIGHTMARE,f0bfb5f98f4cd57e1389551c27bafd89.jpg,不知道,11,游戏之族
j7Y4lH2fBBGwdf9J,Sakura Reflection,QQVOWlapx7bd.jpg,Ryu☆,12,littlefrog
Zu72RNOAQU28oTIA,Alter Ego,yfmfBsGRiWpC.jpg,モリモリあつし,13,MAMUS
rEdXoEn7v5ABVe9j,ダイスキだったらダイジョウブ 【創作譜面】,3xA6bYiBSuVw.jpg,Aqours,11,Mtn64
CZuxHOwaxskSrzl8,光るなら EX,sQuogigikCVl.jpg,Goose house,11,DatMinish
hqDLuKHwt56GpDv7,Identity Part V,qnZfXSxfTebJ.jpg,SHK,11,天坑君
